date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
22:19:32	692247/692247	---MCZ	200	added ('OK')	text/html	etag:W/%220c2572726e3a5d535c53bf8d2b71976d%22	https://faithfutures5.wixsite.com/mysite/alternate-services	C:/My%20Web%20Sites/Project%20M%20FINAL/faithfutures5.wixsite.com/mysite/alternate-services.html	(from https://faithfutures5.wixsite.com/mysite)
22:19:33	703154/703154	---MCZ	200	added ('OK')	text/html	etag:W/%22135dcb727f551f739ff51322a1764495%22	https://faithfutures5.wixsite.com/mysite/contact-us	C:/My%20Web%20Sites/Project%20M%20FINAL/faithfutures5.wixsite.com/mysite/contact-us.html	(from https://faithfutures5.wixsite.com/mysite)
22:19:35	695058/695058	---MCZ	200	added ('OK')	text/html	etag:W/%22c365501e291f6ce6b22bd4e4e0b18a96%22	https://faithfutures5.wixsite.com/mysite/team	C:/My%20Web%20Sites/Project%20M%20FINAL/faithfutures5.wixsite.com/mysite/team.html	(from https://faithfutures5.wixsite.com/mysite)
22:19:35	5054/5054	---M--	200	added ('OK')	image/jpeg	date:Thu,%2005%20Dec%202024%2003:19:35%20GMT	https://static.wixstatic.com/media/11062b_5bf144f8ae764a70ad76808589f02c12~mv2_d_6000_4000_s_4_2.jpg/v1/fill/w_163,h_109,al_c,q_80,usm_0.66_1.00_0.01,blur_2,enc_avif,quality_auto/11062b_5bf144f8ae764a70ad76808589f02c12~mv2_d_6000_4000_s_4_2.jpg	C:/My%20Web%20Sites/Project%20M%20FINAL/static.wixstatic.com/media/11062b_5bf144f8ae764a70ad76808589f02c12_mv2_d_6/v1/fill/w_163,h_109,al_c,q_80,usm_0.66_1.00_0.01,blur_2/11062b_5bf144f8ae764a70ad76808589f02c12_mv2_d_6000_4000_s_4_2.jpg	(from https://faithfutures5.wixsite.com/mysite)
22:19:36	7769/7769	---M--	200	added ('OK')	image/png	date:Thu,%2005%20Dec%202024%2003:19:35%20GMT	https://static.wixstatic.com/media/e1cedd_8cd8f12a5b2e499088efb5a2328166ad~mv2.png/v1/crop/x_0,y_13,w_600,h_324/fill/w_104,h_56,al_c,q_85,usm_0.66_1.00_0.01,blur_2,enc_avif,quality_auto/SWU%20Logo.png	C:/My%20Web%20Sites/Project%20M%20FINAL/static.wixstatic.com/media/e1cedd_8cd8f12a5b2e499088efb5a2328166ad_mv2.png/v1/crop/x_0,y_13,w_600,h_324/fill/w_104,h_56,al_c,q_85,usm_0.66_1.00_0.01,blur_2,enc_avif,quality_auto/SWU%20Logo.png	(from https://faithfutures5.wixsite.com/mysite)
22:19:36	3241/3241	---M--	200	added ('OK')	image/png	date:Thu,%2005%20Dec%202024%2003:19:36%20GMT	https://static.wixstatic.com/media/e1cedd_9bf634bef16c4c3c992d3e367dd96c46~mv2.png/v1/fill/w_47,h_71,al_c,q_85,usm_0.66_1.00_0.01,blur_2,enc_avif,quality_auto/PC%20%20Logo.png	C:/My%20Web%20Sites/Project%20M%20FINAL/static.wixstatic.com/media/e1cedd_9bf634bef16c4c3c992d3e367dd96c46_mv2.png/v1/fill/w_47,h_71,al_c,q_85,usm_0.66_1.00_0.01,blur_2,enc_avif,quality_auto/PC%20%20Logo.png	(from https://faithfutures5.wixsite.com/mysite)
22:19:36	2104/2104	---M--	200	added ('OK')	image/jpeg	date:Thu,%2005%20Dec%202024%2003:19:36%20GMT	https://static.wixstatic.com/media/e1cedd_8af1319e8eff4fa1a62c9f4be03a8098~mv2.jpg/v1/crop/x_57,y_0,w_885,h_600/fill/w_104,h_71,al_c,q_80,usm_0.66_1.00_0.01,blur_2,enc_avif,quality_auto/Wofford%20College%20Logo.jpg	C:/My%20Web%20Sites/Project%20M%20FINAL/static.wixstatic.com/media/e1cedd_8af1319e8eff4fa1a62c9f4be03a8098_mv2.jpg/v1/crop/x_57,y_0,w_885,h_600/fill/w_104,h_71,al_c,q_80,usm_0.66_1.00_0.01,blur_2,enc_avif,quality_auto/Wofford%20College%20Logo.jpg	(from https://faithfutures5.wixsite.com/mysite)
22:19:36	3877/3877	---M--	200	added ('OK')	image/png	date:Thu,%2005%20Dec%202024%2003:19:36%20GMT	https://static.wixstatic.com/media/e1cedd_1ebb8289e4ca4668ac3765eca1263f41~mv2.png/v1/fill/w_71,h_71,al_c,q_85,usm_0.66_1.00_0.01,blur_2,enc_avif,quality_auto/SMC%20Logo.png	C:/My%20Web%20Sites/Project%20M%20FINAL/static.wixstatic.com/media/e1cedd_1ebb8289e4ca4668ac3765eca1263f41_mv2.png/v1/fill/w_71,h_71,al_c,q_85,usm_0.66_1.00_0.01,blur_2,enc_avif,quality_auto/SMC%20Logo.png	(from https://faithfutures5.wixsite.com/mysite)
22:19:37	1226/1226	---M--	200	added ('OK')	image/jpeg	date:Thu,%2005%20Dec%202024%2003:19:37%20GMT	https://static.wixstatic.com/media/e1cedd_fc7bd4b86a7a40c7ab35bd53b5d0ee4a~mv2.jpg/v1/fill/w_99,h_50,al_c,q_80,usm_0.66_1.00_0.01,blur_2,enc_avif,quality_auto/College%20Boards%20Big%20Future%20LOGO_edited_jp.jpg	C:/My%20Web%20Sites/Project%20M%20FINAL/static.wixstatic.com/media/e1cedd_fc7bd4b86a7a40c7ab35bd53b5d0ee4a_mv2.jpg/v1/fill/w_99,h_50,al_c,q_80,usm_0.66_1.00_0.01,blur_2,enc_avif,quality_auto/College%20Boards%20Big%20Future%20LOGO_edited_jp.jpg	(from https://faithfutures5.wixsite.com/mysite)
22:19:37	4420/4420	---M--	200	added ('OK')	image/png	date:Thu,%2005%20Dec%202024%2003:19:37%20GMT	https://static.wixstatic.com/media/e1cedd_4df196c574654f40a0431f0b5d219c74~mv2.png/v1/fill/w_55,h_29,al_c,q_85,usm_0.66_1.00_0.01,blur_2,enc_avif,quality_auto/FAFSA%20LOGO.png	C:/My%20Web%20Sites/Project%20M%20FINAL/static.wixstatic.com/media/e1cedd_4df196c574654f40a0431f0b5d219c74_mv2.png/v1/fill/w_55,h_29,al_c,q_85,usm_0.66_1.00_0.01,blur_2,enc_avif,quality_auto/FAFSA%20LOGO.png	(from https://faithfutures5.wixsite.com/mysite)
22:19:37	1452/1452	---M--	200	added ('OK')	image/png	date:Thu,%2005%20Dec%202024%2003:19:37%20GMT	https://static.wixstatic.com/media/e1cedd_96a970bd05c7461fbb86301b32e4aecc~mv2.png/v1/crop/x_0,y_8,w_300,h_152/fill/w_55,h_28,al_c,q_85,usm_0.66_1.00_0.01,blur_2,enc_avif,quality_auto/College%20Aid%20Pro%20LOGO.png	C:/My%20Web%20Sites/Project%20M%20FINAL/static.wixstatic.com/media/e1cedd_96a970bd05c7461fbb86301b32e4aecc_mv2.png/v1/crop/x_0,y_8,w_300,h_152/fill/w_55,h_28,al_c,q_85,usm_0.66_1.00_0.01,blur_2,enc_avif,quality_auto/College%20Aid%20Pro%20LOGO.png	(from https://faithfutures5.wixsite.com/mysite)
22:19:38	1084/1084	---M--	200	added ('OK')	image/jpeg	date:Thu,%2005%20Dec%202024%2003:19:37%20GMT	https://static.wixstatic.com/media/e1cedd_08f8e01795ef405980e3acdec8aa5332~mv2.jpg/v1/fill/w_78,h_52,al_c,q_80,usm_0.66_1.00_0.01,blur_2,enc_avif,quality_auto/Kahan%20Academy_edited.jpg	C:/My%20Web%20Sites/Project%20M%20FINAL/static.wixstatic.com/media/e1cedd_08f8e01795ef405980e3acdec8aa5332_mv2.jpg/v1/fill/w_78,h_52,al_c,q_80,usm_0.66_1.00_0.01,blur_2,enc_avif,quality_auto/Kahan%20Academy_edited.jpg	(from https://faithfutures5.wixsite.com/mysite)
22:19:38	962/962	---M--	200	added ('OK')	image/jpeg	date:Thu,%2005%20Dec%202024%2003:19:38%20GMT	https://static.wixstatic.com/media/e1cedd_4ff0cb5b9ac24f6488e68d888b3025fc~mv2.jpg/v1/fill/w_52,h_52,al_c,q_80,usm_0.66_1.00_0.01,blur_2,enc_avif,quality_auto/My%20Next%20Move%20LOGO_edited.jpg	C:/My%20Web%20Sites/Project%20M%20FINAL/static.wixstatic.com/media/e1cedd_4ff0cb5b9ac24f6488e68d888b3025fc_mv2.jpg/v1/fill/w_52,h_52,al_c,q_80,usm_0.66_1.00_0.01,blur_2,enc_avif,quality_auto/My%20Next%20Move%20LOGO_edited.jpg	(from https://faithfutures5.wixsite.com/mysite)
22:19:38	959/959	---M--	200	added ('OK')	image/jpeg	date:Thu,%2005%20Dec%202024%2003:19:38%20GMT	https://static.wixstatic.com/media/e1cedd_08e91d5cc3d94181a28617df76af3427~mv2.jpg/v1/fill/w_52,h_52,al_c,q_80,usm_0.66_1.00_0.01,blur_2,enc_avif,quality_auto/You%20Visit%20LOGO_edited_edited.jpg	C:/My%20Web%20Sites/Project%20M%20FINAL/static.wixstatic.com/media/e1cedd_08e91d5cc3d94181a28617df76af3427_mv2.jpg/v1/fill/w_52,h_52,al_c,q_80,usm_0.66_1.00_0.01,blur_2,enc_avif,quality_auto/You%20Visit%20LOGO_edited_edited.jpg	(from https://faithfutures5.wixsite.com/mysite)
22:19:39	2279/2279	---M--	200	added ('OK')	image/jpeg	date:Thu,%2005%20Dec%202024%2003:19:38%20GMT	https://static.wixstatic.com/media/e1cedd_3de9198203d84981b5f84dabfbfacd70~mv2.jpg/v1/fill/w_123,h_122,al_c,q_80,usm_0.66_1.00_0.01,blur_2,enc_avif,quality_auto/e1cedd_3de9198203d84981b5f84dabfbfacd70~mv2.jpg	C:/My%20Web%20Sites/Project%20M%20FINAL/static.wixstatic.com/media/e1cedd_3de9198203d84981b5f84dabfbfacd70_mv2.jpg/v1/fill/w_123,h_122,al_c,q_80,usm_0.66_1.00_0.01,blur_2,enc_avif,quality_auto/e1cedd_3de9198203d84981b5f84dabfbfacd70_mv2.jpg	(from https://faithfutures5.wixsite.com/mysite)
22:19:39	25112/25112	---M-Z	200	added ('OK')	application/javascript	etag:W/%226dcd805da3c0da864bde837cc6654308%22	https://static.parastorage.com/services/wix-thunderbolt/dist/8875.d06b9c87.bundle.min.js	C:/My%20Web%20Sites/Project%20M%20FINAL/static.parastorage.com/services/wix-thunderbolt/dist/8875.d06b9c87.bundle.min.js	(from https://faithfutures5.wixsite.com/mysite)
22:19:39	65254/65254	---M-Z	200	added ('OK')	application/javascript	etag:%225b6773578af8dd5591339930c2b29024%22	https://browser.sentry-cdn.com/6.18.2/bundle.min.js	C:/My%20Web%20Sites/Project%20M%20FINAL/browser.sentry-cdn.com/6.18.2/bundle.min.js	(from https://faithfutures5.wixsite.com/mysite)
22:19:40	2476/2476	---MCZ	404	error ('Not%20Found')	text/html	date:Thu,%2005%20Dec%202024%2003:19:40%20GMT	https://faithfutures5.wixsite.com/sitemap.xml	C:/My%20Web%20Sites/Project%20M%20FINAL/faithfutures5.wixsite.com/sitemap.19.delayed	(from https://faithfutures5.wixsite.com/mysite)
22:19:40	2476/2476	---MCZ	404	error ('Not%20Found')	text/html	date:Thu,%2005%20Dec%202024%2003:19:40%20GMT	https://faithfutures5.wixsite.com/feed.xml	C:/My%20Web%20Sites/Project%20M%20FINAL/faithfutures5.wixsite.com/feed.1a.delayed	(from https://faithfutures5.wixsite.com/mysite)
22:19:41	135524/135524	---M-Z	200	added ('OK')	application/javascript	etag:W/%22626c0ba100d8ad190ca1e28ec17712c5%22	https://static.parastorage.com/services/wix-thunderbolt/dist/thunderbolt-commons.f3af5900.bundle.min.js	C:/My%20Web%20Sites/Project%20M%20FINAL/static.parastorage.com/services/wix-thunderbolt/dist/thunderbolt-commons.f3af5900.bundle.min.js	(from https://faithfutures5.wixsite.com/mysite)
22:19:41	257618/257618	---M-Z	200	added ('OK')	application/javascript	etag:W/%2228f3edc2b8c3c52659af94d601a97dc9%22	https://static.parastorage.com/services/wix-thunderbolt/dist/main.0e6303e1.bundle.min.js	C:/My%20Web%20Sites/Project%20M%20FINAL/static.parastorage.com/services/wix-thunderbolt/dist/main.0e6303e1.bundle.min.js	(from https://faithfutures5.wixsite.com/mysite)
22:19:41	166/166	---M--	200	added ('OK')	application/javascript	etag:%227276034de396f62e15b7cc118d61c360%22	https://static.parastorage.com/services/wix-thunderbolt/dist/main.renderer.1d21f023.bundle.min.js	C:/My%20Web%20Sites/Project%20M%20FINAL/static.parastorage.com/services/wix-thunderbolt/dist/main.renderer.1d21f023.bundle.min.js	(from https://faithfutures5.wixsite.com/mysite)
22:19:42	73015/73015	---M-Z	200	added ('OK')	application/javascript	etag:W/%229becc40fb1d85d21d0ca38e2f7069511%22	https://static.parastorage.com/unpkg/lodash@4.17.21/lodash.min.js	C:/My%20Web%20Sites/Project%20M%20FINAL/static.parastorage.com/unpkg/lodash@4.17.21/lodash.min.js	(from https://faithfutures5.wixsite.com/mysite)
22:19:42	10751/10751	---M-Z	200	added ('OK')	application/javascript	etag:W/%22e91b2616629791b375867c298dc846cc%22	https://static.parastorage.com/unpkg/react@18.3.1/umd/react.production.min.js	C:/My%20Web%20Sites/Project%20M%20FINAL/static.parastorage.com/unpkg/react@18.3.1/umd/react.production.min.js	(from https://faithfutures5.wixsite.com/mysite)
22:19:42	131835/131835	---M-Z	200	added ('OK')	application/javascript	etag:W/%227d4842a904e5d5d1b19240075998b111%22	https://static.parastorage.com/unpkg/react-dom@18.3.1/umd/react-dom.production.min.js	C:/My%20Web%20Sites/Project%20M%20FINAL/static.parastorage.com/unpkg/react-dom@18.3.1/umd/react-dom.production.min.js	(from https://faithfutures5.wixsite.com/mysite)
22:19:43	6088/6088	---M-Z	200	added ('OK')	application/javascript	etag:W/%220022d406fbbd37299590c9dfcb9e8438%22	https://static.parastorage.com/services/wix-thunderbolt/dist/browser-deprecation.bundle.es5.js	C:/My%20Web%20Sites/Project%20M%20FINAL/static.parastorage.com/services/wix-thunderbolt/dist/browser-deprecation.bundle.es5.js	(from https://faithfutures5.wixsite.com/mysite)
22:19:43	2475/2475	---MCZ	404	error ('Not%20Found')	text/html	date:Thu,%2005%20Dec%202024%2003:19:43%20GMT	https://faithfutures5.wixsite.com/decodeURIComponent(e	C:/My%20Web%20Sites/Project%20M%20FINAL/faithfutures5.wixsite.com/decodeURIComponent(e.22.delayed	(from https://faithfutures5.wixsite.com/mysite)
22:19:44	9800/9800	---M-Z	200	added ('OK')	application/javascript	etag:W/%227f6a360bf47f00b1714dc34cc20ec4bd%22	https://static.parastorage.com/services/tag-manager-client/1.875.0/siteTags.bundle.min.js	C:/My%20Web%20Sites/Project%20M%20FINAL/static.parastorage.com/services/tag-manager-client/1.875.0/siteTags.bundle.min.js	(from https://faithfutures5.wixsite.com/mysite)
22:19:44	2478/2478	---MCZ	404	error ('Not%20Found')	text/html	date:Thu,%2005%20Dec%202024%2003:19:44%20GMT	https://faithfutures5.wixsite.com/mysite/c	C:/My%20Web%20Sites/Project%20M%20FINAL/faithfutures5.wixsite.com/mysite/c.24.delayed	(from https://faithfutures5.wixsite.com/mysite/colleges)
22:19:45	2478/2478	---MCZ	404	error ('Not%20Found')	text/html	date:Thu,%2005%20Dec%202024%2003:19:45%20GMT	https://faithfutures5.wixsite.com/mysite/t	C:/My%20Web%20Sites/Project%20M%20FINAL/faithfutures5.wixsite.com/mysite/t.25.delayed	(from https://faithfutures5.wixsite.com/mysite/colleges)
22:19:45	924582/924582	---M--	200	added ('OK')	image/png	date:Thu,%2005%20Dec%202024%2003:19:45%20GMT	https://static.wixstatic.com/media/e1cedd_585f09264deb4fd0bb351e7b61668e0a~mv2.png/v1/crop/x_0,y_241,w_1152,h_414/fill/w_980,h_352,al_c,q_85,usm_0.66_1.00_0.01,enc_avif,quality_auto/inject-blog-service_1731515093536.png	C:/My%20Web%20Sites/Project%20M%20FINAL/static.wixstatic.com/media/e1cedd_585f09264deb4fd0bb351e7b61668e0a_mv2.png/v1/crop/x_0,y_241,w_1152,h_414/fill/w_980,h_352,al_c,q_85,usm_0.66_1.00_0.01,enc_av/inject-blog-service_1731515093536.png	(from https://faithfutures5.wixsite.com/mysite/colleges)
22:19:45	1706/1706	---M--	200	added ('OK')	image/jpeg	date:Thu,%2005%20Dec%202024%2003:19:45%20GMT	https://static.wixstatic.com/media/e1cedd_078be0a90ca540d591c3f3ecce606c2c~mv2.jpg/v1/fill/w_66,h_66,al_c,q_80,usm_0.66_1.00_0.01,blur_2,enc_avif,quality_auto/NGU%20Logo%20NG_edited.jpg	C:/My%20Web%20Sites/Project%20M%20FINAL/static.wixstatic.com/media/e1cedd_078be0a90ca540d591c3f3ecce606c2c_mv2.jpg/v1/fill/w_66,h_66,al_c,q_80,usm_0.66_1.00_0.01,blur_2,enc_avif,quality_auto/NGU%20Logo%20NG_edited.jpg	(from https://faithfutures5.wixsite.com/mysite/colleges)
22:19:47	681437/681437	---MCZ	200	added ('OK')	text/html	etag:W/%22b0246ed957cbb95e010368fa84b8368f%22	https://faithfutures5.wixsite.com/mysite/about-5	C:/My%20Web%20Sites/Project%20M%20FINAL/faithfutures5.wixsite.com/mysite/about-5.html	(from https://faithfutures5.wixsite.com/mysite/colleges)
22:19:47	1449/1449	---M--	200	added ('OK')	image/jpeg	date:Thu,%2005%20Dec%202024%2003:19:47%20GMT	https://static.wixstatic.com/media/e1cedd_8af1319e8eff4fa1a62c9f4be03a8098~mv2.jpg/v1/fill/w_90,h_54,al_c,q_80,usm_0.66_1.00_0.01,blur_2,enc_avif,quality_auto/Wofford%20College%20Logo.jpg	C:/My%20Web%20Sites/Project%20M%20FINAL/static.wixstatic.com/media/e1cedd_8af1319e8eff4fa1a62c9f4be03a8098_mv2.jpg/v1/fill/w_90,h_54,al_c,q_80,usm_0.66_1.00_0.01,blur_2,enc_avif,quality_auto/Wofford%20College%20Logo.jpg	(from https://faithfutures5.wixsite.com/mysite/colleges)
22:19:48	684670/684670	---MCZ	200	added ('OK')	text/html	etag:W/%226ee7ca0028a9538c866001dd669823aa%22	https://faithfutures5.wixsite.com/mysite/copy-of-north-greenville-university-1	C:/My%20Web%20Sites/Project%20M%20FINAL/faithfutures5.wixsite.com/mysite/copy-of-north-greenville-university-1.html	(from https://faithfutures5.wixsite.com/mysite/colleges)
22:19:48	3433/3433	---M--	200	added ('OK')	image/png	date:Thu,%2005%20Dec%202024%2003:19:48%20GMT	https://static.wixstatic.com/media/e1cedd_1ebb8289e4ca4668ac3765eca1263f41~mv2.png/v1/fill/w_66,h_66,al_c,q_85,usm_0.66_1.00_0.01,blur_2,enc_avif,quality_auto/SMC%20Logo.png	C:/My%20Web%20Sites/Project%20M%20FINAL/static.wixstatic.com/media/e1cedd_1ebb8289e4ca4668ac3765eca1263f41_mv2.png/v1/fill/w_66,h_66,al_c,q_85,usm_0.66_1.00_0.01,blur_2,enc_avif,quality_auto/SMC%20Logo.png	(from https://faithfutures5.wixsite.com/mysite/colleges)
22:19:50	678532/678532	---MCZ	200	added ('OK')	text/html	etag:W/%2223b2af4264440cc976201aa2b0d04a07%22	https://faithfutures5.wixsite.com/mysite/copy-of-southern-wesleyan-university-1	C:/My%20Web%20Sites/Project%20M%20FINAL/faithfutures5.wixsite.com/mysite/copy-of-southern-wesleyan-university-1.html	(from https://faithfutures5.wixsite.com/mysite/colleges)
22:19:50	6207/6207	---M--	200	added ('OK')	image/png	date:Thu,%2005%20Dec%202024%2003:19:50%20GMT	https://static.wixstatic.com/media/e1cedd_8cd8f12a5b2e499088efb5a2328166ad~mv2.png/v1/fill/w_90,h_52,al_c,q_85,usm_0.66_1.00_0.01,blur_2,enc_avif,quality_auto/SWU%20Logo.png	C:/My%20Web%20Sites/Project%20M%20FINAL/static.wixstatic.com/media/e1cedd_8cd8f12a5b2e499088efb5a2328166ad_mv2.png/v1/fill/w_90,h_52,al_c,q_85,usm_0.66_1.00_0.01,blur_2,enc_avif,quality_auto/SWU%20Logo.png	(from https://faithfutures5.wixsite.com/mysite/colleges)
22:19:51	681330/681330	---MCZ	200	added ('OK')	text/html	etag:W/%22ff9a27c9d21df78727fa95f13104f1e0%22	https://faithfutures5.wixsite.com/mysite/copy-of-north-greenville-university	C:/My%20Web%20Sites/Project%20M%20FINAL/faithfutures5.wixsite.com/mysite/copy-of-north-greenville-university.html	(from https://faithfutures5.wixsite.com/mysite/colleges)
22:19:51	2970/2970	---M--	200	added ('OK')	image/png	date:Thu,%2005%20Dec%202024%2003:19:51%20GMT	https://static.wixstatic.com/media/e1cedd_9bf634bef16c4c3c992d3e367dd96c46~mv2.png/v1/fill/w_44,h_66,al_c,q_85,usm_0.66_1.00_0.01,blur_2,enc_avif,quality_auto/PC%20%20Logo.png	C:/My%20Web%20Sites/Project%20M%20FINAL/static.wixstatic.com/media/e1cedd_9bf634bef16c4c3c992d3e367dd96c46_mv2.png/v1/fill/w_44,h_66,al_c,q_85,usm_0.66_1.00_0.01,blur_2,enc_avif,quality_auto/PC%20%20Logo.png	(from https://faithfutures5.wixsite.com/mysite/colleges)
22:19:53	679696/679696	---MCZ	200	added ('OK')	text/html	etag:W/%227944856d30834536dc257b526f0815c4%22	https://faithfutures5.wixsite.com/mysite/copy-of-southern-wesleyan-university	C:/My%20Web%20Sites/Project%20M%20FINAL/faithfutures5.wixsite.com/mysite/copy-of-southern-wesleyan-university.html	(from https://faithfutures5.wixsite.com/mysite/colleges)
22:19:53	2476/2476	---MCZ	404	error ('Not%20Found')	text/html	date:Thu,%2005%20Dec%202024%2003:19:53%20GMT	https://faithfutures5.wixsite.com/mysite/robots.txt	C:/My%20Web%20Sites/Project%20M%20FINAL/faithfutures5.wixsite.com/mysite/robots.31.delayed	(from https://faithfutures5.wixsite.com/mysite/colleges)
22:19:54	388/388	---M--	200	added ('OK')	text/xml	etag:W/%22184-TGfjH3wMTVI/nJ3Fc49xHMIbyQU%22	https://faithfutures5.wixsite.com/mysite/sitemap.xml	C:/My%20Web%20Sites/Project%20M%20FINAL/faithfutures5.wixsite.com/mysite/sitemap.xml	(from https://faithfutures5.wixsite.com/mysite/colleges)
22:19:54	2476/2476	---MCZ	404	error ('Not%20Found')	text/html	date:Thu,%2005%20Dec%202024%2003:19:54%20GMT	https://faithfutures5.wixsite.com/mysite/feed.xml	C:/My%20Web%20Sites/Project%20M%20FINAL/faithfutures5.wixsite.com/mysite/feed.33.delayed	(from https://faithfutures5.wixsite.com/mysite/colleges)
22:19:54	2476/2476	---MCZ	404	error ('Not%20Found')	text/html	date:Thu,%2005%20Dec%202024%2003:19:54%20GMT	https://faithfutures5.wixsite.com/mysite/decodeURIComponent(e	C:/My%20Web%20Sites/Project%20M%20FINAL/faithfutures5.wixsite.com/mysite/decodeURIComponent(e.34.delayed	(from https://faithfutures5.wixsite.com/mysite/colleges)
22:19:57	715922/715922	---MCZ	200	added ('OK')	text/html	etag:W/%22e388ed5ee2c5b0ea923a2114e79bc717%22	https://faithfutures5.wixsite.com/mysite/team/brian-chung	C:/My%20Web%20Sites/Project%20M%20FINAL/faithfutures5.wixsite.com/mysite/team/brian-chung.html	(from https://faithfutures5.wixsite.com/mysite/team)
22:19:57	10432/10432	---M--	200	added ('OK')	image/jpeg	date:Thu,%2005%20Dec%202024%2003:19:57%20GMT	https://static.wixstatic.com/media/e1cedd_6438504b47ae4a53a723112ed4539c86~mv2.jpg/v1/fill/w_279,h_280,al_c,q_80,usm_0.66_1.00_0.01,enc_avif,quality_auto/Image-empty-state.jpg	C:/My%20Web%20Sites/Project%20M%20FINAL/static.wixstatic.com/media/e1cedd_6438504b47ae4a53a723112ed4539c86_mv2.jpg/v1/fill/w_279,h_280,al_c,q_80,usm_0.66_1.00_0.01,enc_avif,quality_auto/Image-empty-state.jpg	(from https://faithfutures5.wixsite.com/mysite/team)
22:19:59	715443/715443	---MCZ	200	added ('OK')	text/html	etag:W/%22bbac139585d786eb279fe8b925a60c47%22	https://faithfutures5.wixsite.com/mysite/team/kelly-parker	C:/My%20Web%20Sites/Project%20M%20FINAL/faithfutures5.wixsite.com/mysite/team/kelly-parker.html	(from https://faithfutures5.wixsite.com/mysite/team)
